player_name,player_id,team_id,match_id,innings,overs,maidens,runs,wickets,economy,wides,no_ball
Taskin Ahmed,47,3,28,1,9.0,1,43,2,4.77,1,0
Shakib Al Hasan,41,3,28,1,10.0,1,37,1,3.7,0,0
Mehidy Hasan Miraz,40,3,28,1,4.0,0,17,0,4.25,0,0
Mustafizur Rahman,43,3,28,1,10.0,1,36,2,3.6,1,0
Mahedi Hasan,38,3,28,1,7.0,0,40,2,5.71,1,0
Aryan Dutt,93,6,28,2,10.0,3,26,1,2.6,0,0
Logan van Beek,95,6,28,2,9.0,1,30,1,3.33,4,0
Colin Ackermann,87,6,28,2,7.0,1,25,1,3.57,0,0
Paul van Meekeren,96,6,28,2,7.2,0,23,4,3.13,2,0
Bas de Leede,88,6,28,2,7.0,0,25,2,3.57,0,0
Shariz Ahmad,94,6,28,2,2.0,0,13,0,6.5,0,0
David Willey,59,4,29,1,10.0,2,45,3,4.5,0,0
Chris Woakes,60,4,29,1,9.0,1,33,2,3.66,1,0
Adil Rashid,62,4,29,1,10.0,0,35,2,3.5,0,0
Mark Wood,63,4,29,1,9.0,1,46,1,5.11,2,0
Liam Livingstone,57,4,29,1,4.0,1,29,0,7.25,0,0
Moeen Ali,54,4,29,1,8.0,0,37,0,4.62,0,0
Jasprit Bumrah,76,5,29,2,6.5,1,32,3,4.68,2,0
Mohammed Siraj,79,5,29,2,6.0,0,33,0,5.5,2,0
Mohammed Shami,78,5,29,2,7.0,2,22,4,3.14,2,0
Kuldeep Yadav,77,5,29,2,8.0,0,24,2,3.0,0,0
Ravindra Jadeja,73,5,29,2,7.0,1,16,1,2.28,0,0
Mujeeb Ur Rahman,13,1,30,1,10.0,0,38,2,3.8,0,0
Fazalhaq Farooqi,12,1,30,1,10.0,1,34,4,3.4,0,0
Naveen-ul-Haq,14,1,30,1,6.3,0,47,0,7.23,2,0
Azmatullah Omarzai,7,1,30,1,7.0,0,37,1,5.28,1,0
Rashid Khan,10,1,30,1,10.0,0,50,1,5.0,2,0
Mohammad Nabi,8,1,30,1,6.0,0,33,0,5.5,0,0
Dilshan Madushanka,158,10,30,2,9.0,0,48,2,5.33,3,0
Kasun Rajitha,159,10,30,2,10.0,0,48,1,4.8,2,0
Angelo Mathews,155,10,30,2,3.0,0,18,0,6.0,0,0
Dushmantha Chameera,157,10,30,2,9.2,0,51,0,5.46,0,0
Maheesh Theekshana,160,10,30,2,10.0,0,55,0,5.5,3,0
Dhananjaya de Silva,152,10,30,2,4.0,0,21,0,5.25,0,0
Shaheen Shah Afridi,127,8,31,1,9.0,1,23,3,2.55,2,0
Iftikhar Ahmed,117,8,31,1,10.0,0,44,1,4.4,0,0
Haris Rauf,125,8,31,1,8.0,0,36,2,4.5,2,0
Mohammad Wasim,123,8,31,1,8.1,1,31,3,3.79,0,0
Usama Mir,128,8,31,1,10.0,0,66,1,6.6,1,0
Taskin Ahmed,47,3,31,2,6.0,1,36,0,6.0,0,0
Shoriful Islam,45,3,31,2,4.0,1,25,0,6.25,1,0
Mehidy Hasan Miraz,40,3,31,2,9.0,0,60,3,6.66,0,0
Mustafizur Rahman,43,3,31,2,7.0,0,47,0,6.71,1,0
Shakib Al Hasan,41,3,31,2,5.3,0,30,0,5.45,0,0
Najmul Hossain Shanto,32,3,31,2,1.0,0,5,0,5.0,0,0
Trent Boult,108,7,32,1,10.0,1,49,1,4.9,2,0
Matt Henry,113,7,32,1,5.3,0,31,0,5.63,1,0
Tim Southee,112,7,32,1,10.0,0,77,2,7.7,1,0
Mitchell Santner,107,7,32,1,10.0,0,58,0,5.8,2,0
Glenn Phillips,105,7,32,1,7.0,0,52,0,7.42,2,0
Rachin Ravindra,106,7,32,1,2.0,0,17,0,8.5,0,0
James Neesham,104,7,32,1,5.3,0,69,1,12.54,0,0
Marco Jansen,136,9,32,2,8.0,1,31,3,3.87,1,1
Lungi Ngidi,140,9,32,2,6.0,1,28,0,4.66,0,0
Kagiso Rabada,141,9,32,2,6.0,2,16,1,2.66,0,0
Gerald Coetzee,138,9,32,2,6.3,0,41,2,6.3,1,0
Keshav Maharaj,139,9,32,2,9.0,0,46,4,5.11,0,0
Dilshan Madushanka,158,10,33,1,10.0,0,80,5,8.0,6,0
Dushmantha Chameera,157,10,33,1,10.0,2,71,1,7.1,0,0
Kasun Rajitha,159,10,33,1,9.0,0,65,0,7.22,1,0
Angelo Mathews,155,10,33,1,3.0,0,11,0,3.66,0,0
Maheesh Theekshana,160,10,33,1,10.0,0,67,0,6.7,1,0
Dushan Hemantha,153,10,33,1,8.0,0,52,0,6.5,0,1
Jasprit Bumrah,76,5,33,2,5.0,1,8,1,1.6,3,0
Mohammed Siraj,79,5,33,2,7.0,2,16,3,2.28,1,0
Mohammed Shami,78,5,33,2,5.0,1,18,5,3.6,0,0
Kuldeep Yadav,77,5,33,2,2.0,0,3,0,1.5,0,0
Ravindra Jadeja,73,5,33,2,0.4,0,4,1,6.0,0,0
Mujeeb Ur Rahman,13,1,34,1,10.0,0,40,1,4.0,3,0
