player_name,player_id,team_id,match_id,runs,balls_faced,fours,sixes,strike_rate,dnb,is_out,dismissal_type
Abdullah Shafique,115,8,8,113,103,10,3,109.70,0,1,c sub (MADI Hemantha) b Pathirana
Imam-ul-Haq,118,8,8,12,12,1,0,100.00,0,1,c Perera b Madushanka
Babar Azam,114,8,8,10,15,1,0,66.66,0,1,c †Samarawickrama b Madushanka
Mohammad Rizwan,119,8,8,131,121,8,3,108.26,0,0,
Saud Shakeel,120,8,8,31,30,2,0,103.33,0,1,c Wellalage b Theekshana
Iftikhar Ahmed,117,8,8,22,10,4,0,220.00,0,0,
Babar Azam,114,8,8,0,0,0,0,0,1,0,
Mohammad Rizwan,119,8,8,0,0,0,0,0,1,0,
Shadab Khan,124,8,8,0,0,0,0,0,1,0,
Mohammad Nawaz,122,8,8,0,0,0,0,0,1,0,
Hasan Ali,126,8,8,0,0,0,0,0,1,0,
Shaheen Shah Afridi,127,8,8,0,0,0,0,0,1,0,
Haris Rauf,125,8,8,0,0,0,0,0,1,0,
Rahmanullah Gurbaz,5,1,9,21,28,3,1,75.00,0,1,c Thakur b Pandya
Ibrahim Zadran,2,1,9,22,28,4,0,78.57,0,1,c †Rahul b Bumrah
Rahmat Shah,9,1,9,16,22,3,0,72.72,0,1,lbw b Thakur
Hashmatullah Shahidi,1,1,9,80,88,8,1,90.90,0,1,lbw b Kuldeep Yadav
Azmatullah Omarzai,7,1,9,62,69,2,4,89.85,0,1, b Pandya
Mohammad Nabi,8,1,9,19,27,1,0,70.37,0,1,lbw b Bumrah
Najibullah Zadran,4,1,9,2,8,0,0,25.00,0,1,c Kohli b Bumrah
Rashid Khan,10,1,9,16,12,1,1,133.33,0,1,c Kuldeep Yadav b Bumrah
Mujeeb Ur Rahman,13,1,9,10,12,2,0,83.33,0,0,
Naveen-ul-Haq,14,1,9,9,8,1,0,112.50,0,0,
Rahmanullah Gurbaz,5,1,9,0,0,0,0,0,1,0,
Hashmatullah Shahidi,1,1,9,0,0,0,0,0,1,0,
Fazalhaq Farooqi,12,1,9,0,0,0,0,0,1,0,
Rohit Sharma,65,5,9,131,84,16,5,155.95,0,1, b Rashid Khan
Ishan Kishan,66,5,9,47,47,5,2,100.00,0,1,c Ibrahim Zadran b Rashid Khan
Virat Kohli,68,5,9,55,56,6,0,98.21,0,0,
Shreyas Iyer,67,5,9,25,23,1,1,108.69,0,0,
Rohit Sharma,65,5,9,0,0,0,0,0,1,0,
KL Rahul,69,5,9,0,0,0,0,0,1,0,
Hardik Pandya,74,5,9,0,0,0,0,0,1,0,
Ravindra Jadeja,73,5,9,0,0,0,0,0,1,0,
